1	1	120
1	2	120
1	3	120
1	4	120
1	5	120
1	6	120
1	7	120
1	8	120
1	9	120
1	10	120
1	11	120
1	12	120
1	13	120
2	1	120
2	2	100
2	3	100
2	4	100
2	5	100
2	6	100
2	7	1
2	8	1
2	9	100
2	10	100
2	11	100
2	12	1
2	13	120
3	1	120
3	2	1
3	3	1
3	4	1
3	5	1
3	6	1
3	7	1
3	8	1
3	9	100
3	10	100
3	11	100
3	12	1
3	13	120
4	1	120
4	2	1
4	3	100
4	4	100
4	5	1
4	6	100
4	7	100
4	8	1
4	9	1
4	10	1
4	11	1
4	12	1
4	13	120
5	1	120
5	2	1
5	3	100
5	4	100
5	5	1
5	6	100
5	7	100
5	8	1
5	9	100
5	10	100
5	11	100
5	12	1
5	13	120
6	1	120
6	2	1
6	3	100
6	4	100
6	5	1
6	6	100
6	7	100
6	8	1
6	9	100
6	10	100
6	11	100
6	12	1
6	13	120
7	1	120
7	2	1
7	3	1
7	4	1
7	5	1
7	6	1
7	7	1
7	8	1
7	9	1
7	10	100
7	11	100
7	12	1
7	13	120
8	1	120
8	2	1
8	3	100
8	4	100
8	5	1
8	6	1
8	7	100
8	8	100
8	9	1
8	10	1
8	11	1
8	12	1
8	13	120
9	1	120
9	2	1
9	3	1
9	4	1
9	5	1
9	6	1
9	7	100
9	8	100
9	9	1
9	10	100
9	11	100
9	12	1
9	13	120
10	1	120
10	2	1
10	3	100
10	4	1
10	5	100
10	6	1
10	7	100
10	8	100
10	9	1
10	10	100
10	11	100
10	12	1
10	13	120
11	1	120
11	2	1
11	3	1
11	4	1
11	5	100
11	6	1
11	7	100
11	8	1
11	9	1
11	10	100
11	11	100
11	12	1
11	13	120
12	1	120
12	2	1
12	3	100
12	4	100
12	5	100
12	6	1
12	7	1
12	8	1
12	9	1
12	10	1
12	11	1
12	12	1
12	13	120
13	1	120
13	2	120
13	3	120
13	4	120
13	5	120
13	6	120
13	7	120
13	8	120
13	9	120
13	10	120
13	11	120
13	12	120
13	13	120
